Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"	"TAU score - Tissue"	"TAU score - Blood"	"TAU score - Brain"	"TAU score - Single Cell Type"	"TAU score - Single nuclei brain"	"Tissue RNA - endometrium 1 [nTPM]"
ABAT	"GABA-T, GABAT"	ENSG00000183044	"4-aminobutyrate aminotransferase"	P80404	16	8674596-8784575	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Neurotransmitter degradation"	"Aminotransferase, Transferase"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.88e-2)"	0.59	0.58	0.08	0.64	0.19	3.7
ABCA1	"ABC1, HDLDT1, TGD"	ENSG00000165029	"ATP binding cassette subfamily A member 1"	O95477	9	104781006-104928155	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Cholesterol metabolism, Lipid metabolism, Steroid metabolism, Sterol metabolism, Transport"	Translocase	"Atherosclerosis, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.14e-1)"	0.41	0.79	0.14	0.47	0.48	5.4
ABCA10	EST698739	ENSG00000154263	"ATP binding cassette subfamily A member 10"	Q8WWZ4	17	69147214-69244846	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport	Translocase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"		0.51	"Not detected"	0.25	0.76	0.43	3.5
ABCA2	ABC2	ENSG00000107331	"ATP binding cassette subfamily A member 2"	Q9BZC7	9	137007234-137028915	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport	Translocase	"Disease variant, Epilepsy, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.43e-2)"	0.63	"Not detected"	0.15	0.70	0.43	4.1
ABCA3	"ABC-C, ABC3, EST111653, LBM180"	ENSG00000167972	"ATP binding cassette subfamily A member 3"	Q99758	16	2275881-2340746	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.11e-2)"	0.58	"Not detected"	0.06	0.76	0.15	3.6
ABCA5	EST90625	ENSG00000154265	"ATP binding cassette subfamily A member 5"	Q8WWZ7	17	69244311-69327244	"Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.53e-1)"	0.38	0.43	0.16	0.36	0.13	5.3
ABCA6	EST155051	ENSG00000154262	"ATP binding cassette subfamily A member 6"	Q8N139	17	69078702-69141895	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport	Translocase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"		0.57	"Not detected"	0.31	0.68	0.44	5.7
ABCA7	ABCX	ENSG00000064687	"ATP binding cassette subfamily A member 7"	Q8IZY2	19	1039997-1065572	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Phagocytosis, Transport"	Translocase	"Alzheimer disease, Amyloidosis, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (8.45e-2)"	0.52	0.57	0.34	0.67	0.28	1.2
ABCA8	KIAA0822	ENSG00000141338	"ATP binding cassette subfamily A member 8"	O94911	17	68867289-68955392	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"		0.31	"Not detected"	0.26	0.77	0.76	11.6
ABCA9	EST640918	ENSG00000154258	"ATP binding cassette subfamily A member 9"	Q8IUA7	17	68974488-69060949	"Predicted membrane proteins, Transporters"	Transport	Translocase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"		0.42	"Not detected"	0.06	0.81	0.53	10.5
ABCB1	"ABC20, CD243, CLCS, GP170, MDR1, p-170, P-gp, PGY1"	ENSG00000085563	"ATP binding cassette subfamily B member 1"	P08183	7	87503017-87713323	"Cancer-related genes, CD markers, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"		0.66	0.74	0.12	0.76	0.64	10.7
ABCB10	"EST20237, M-ABC2, MTABC2"	ENSG00000135776	"ATP binding cassette subfamily B member 10"	Q9NRK6	1	229516582-229558707	"Plasma proteins, Predicted membrane proteins, Transporters"	Transport			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.87e-1)"	0.47	0.31	0.13	0.60	0.09	6.6
ABCB6	"EST45597, MTABC3, umat"	ENSG00000115657	"ATP binding cassette subfamily B member 6 (Langereis blood group)"	Q9NP58	2	219209772-219218994	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	Transport	Translocase	"Disease variant, Dyskeratosis congenita, Microphthalmia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.17e-2)"	0.37	0.65	0.11	0.85	0.18	8.1
ABCB7	"ABC7, ASAT, Atm1p, EST140535"	ENSG00000131269	"ATP binding cassette subfamily B member 7"	O75027	X	75051048-75156732	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport		"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.72e-2)"	0.29	0.14	0.16	0.32	0.17	10.5
ABCB8	"EST328128, M-ABC1, MABC1, MITOSUR"	ENSG00000197150	"ATP binding cassette subfamily B member 8"	Q9NUT2	7	151028422-151047782	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Potassium transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.38e-1)"	0.22	0.42	0.06	0.44	0.11	14.4
ABCB9	EST122234	ENSG00000150967	"ATP binding cassette subfamily B member 9"	Q9NP78	12	122920951-122981649	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Peptide transport, Protein transport, Transport"	Translocase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.96e-1)"	0.51	0.68	0.11	0.70	0.21	2.9
ABCC1	"GS-X, MRP, MRP1"	ENSG00000103222	"ATP binding cassette subfamily C member 1"	P33527	16	15949138-16143257	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	"Hydrolase, Translocase"	"Cancer-related genes, Deafness, FDA approved drug targets, Non-syndromic deafness"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.06e-1)"	0.36	"Not detected"	0.46	0.41	0.25	10.6
ABCC10	"EST182763, MRP7, SIMRP7"	ENSG00000124574	"ATP binding cassette subfamily C member 10"	Q5T3U5	6	43427366-43450427	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.97e-2)"	0.24	0.49	0.11	0.41	0.10	12.8
ABCC3	"cMOAT2, EST90757, MLP2, MOAT-D, MRP3"	ENSG00000108846	"ATP binding cassette subfamily C member 3"	O15438	17	50634777-50692253	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.76e-2)"	0.65	0.78	0.45	0.60	0.65	1.1
ABCC4	"EST170205, MOAT-B, MOATB, MRP4"	ENSG00000125257	"ATP binding cassette subfamily C member 4"	O15439	13	95019835-95301475	"Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.03e-2)"	0.54	0.42	0.22	0.68	0.55	3.3
ABCC5	"EST277145, MOAT-C, MRP5, SMRP"	ENSG00000114770	"ATP binding cassette subfamily C member 5"	O15440	3	183919934-184017939	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport	Translocase	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.32e-2)"	0.34	0.40	0.29	0.45	0.18	21.0
ABCC8	"ABC36, HHF1, HI, HRINS, MRP8, PHHI, SUR, SUR1, TNDM2"	ENSG00000006071	"ATP binding cassette subfamily C member 8"	Q09428	11	17392498-17476894	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	Transport	Receptor	"Diabetes mellitus, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"		0.79	"Not detected"	0.16	0.84	0.27	2.5
ABCC9	"CMD1O, SUR2"	ENSG00000069431	"ATP binding cassette subfamily C member 9"	O60706	12	21797389-21942543	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters"	Transport	Receptor	"Atrial fibrillation, Cardiomyopathy, Disease variant, FDA approved drug targets, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.75e-2)"	0.47	"Not detected"	0.15	0.77	0.71	13.6
ABCD1	"adrenoleukodystrophy, ALD, ALDP, AMN"	ENSG00000101986	"ATP binding cassette subfamily D member 1"	P33897	X	153724856-153744755	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	Transport	"Hydrolase, Translocase"	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.81e-3)"	0.41	0.45	0.18	0.59	0.48	32.1
ABCD2	"ALDL1, ALDR, ALDRP"	ENSG00000173208	"ATP binding cassette subfamily D member 2"	Q9UBJ2	12	39550033-39619803	"Metabolic proteins, Predicted membrane proteins, Transporters"	Transport	"Hydrolase, Translocase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"		0.76	0.64	0.31	0.86	0.31	2.6
ABCD3	"PMP70, PXMP1, ZWS2"	ENSG00000117528	"ATP binding cassette subfamily D member 3"	P28288	1	94418389-94518666	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	Transport	"Hydrolase, Translocase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.96e-3)"	0.34	0.27	0.07	0.30	0.18	14.3
ABCD4	"EST352188, P70R, PMP69, PXMP1L"	ENSG00000119688	"ATP binding cassette subfamily D member 4"	O14678	14	74285269-74303055	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport	Translocase	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.62e-3)"	0.22	0.44	0.09	0.26	0.22	4.7
ABCE1	"OABP, RLI, RLI1, RNASEL1, RNASELI, RNS4I"	ENSG00000164163	"ATP binding cassette subfamily E member 1"	P61221	4	145098288-145129524	"Predicted intracellular proteins, Transporters"	"Host-virus interaction, Translation regulation"	"Chaperone, Hydrolase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.19e-1)"	0.15	0.25	0.10	0.21	0.09	23.6
ABCF1	"ABC50, EST123147"	ENSG00000204574	"ATP binding cassette subfamily F member 1"	Q8NE71	6	30571393-30597179	"Plasma proteins, Predicted intracellular proteins, Transporters"		Activator		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.36e-2)"	0.33	0.25	0.06	0.25	0.23	33.2
ABCF2	"ABC28, EST133090, HUSSY-18, M-ABC1"	ENSG00000033050	"ATP binding cassette subfamily F member 2"	Q9UG63	7	151211484-151227205	"Predicted intracellular proteins, Transporters"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.34e-2)"	0.33	0.18	0.07	0.32	0.11	16.1
ABCF2-H2BK1	ABCF2-H2BE1	ENSG00000285292	"ABCF2-H2BK1 readthrough"		7	151207837-151227166	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"			"unprognostic (1.26e-1)"	0.35	0.22	0.24	0.86	"Not available"	8.2
ABCF3	EST201864	ENSG00000161204	"ATP binding cassette subfamily F member 3"	Q9NUQ8	3	184186095-184194012	"Predicted intracellular proteins, Transporters"	"Antiviral defense"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.77e-1)"	0.24	0.11	0.05	0.30	0.19	15.0
ABCG1	ABC8	ENSG00000160179	"ATP binding cassette subfamily G member 1"	P45844	21	42199689-42297244	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.31e-2)"	0.34	0.56	0.09	0.55	0.30	4.7
ABCG2	"ABCP, BCRP, CD338, EST157481, MXR"	ENSG00000118777	"ATP binding cassette subfamily G member 2 (Junior blood group)"	Q9UNQ0	4	88090150-88231628	"Cancer-related genes, CD markers, Enzymes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.01e-2)"	0.60	0.82	0.12	0.73	0.84	22.4
ABHD10	FLJ11342	ENSG00000144827	"Abhydrolase domain containing 10, depalmitoylase"	Q9NUJ1	3	111979010-111993368	"Enzymes, Predicted intracellular proteins"		Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.20e-2)"	0.28	0.19	0.05	0.33	0.11	10.8
ABHD11	"PP1226, WBSCR21"	ENSG00000106077	"Abhydrolase domain containing 11"	Q8NFV4	7	73736094-73738852	"Disease related genes, Human disease related genes, Predicted intracellular proteins"		Hydrolase	"Williams-Beuren syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.11e-3)"	0.29	0.30	0.17	0.40	0.40	7.0
ABHD12	"ABHD12A, BEM46L2, C20orf22, dJ965G21.2, DKFZP434P106"	ENSG00000100997	"Abhydrolase domain containing 12, lysophospholipase"	Q8N2K0	20	25294742-25390835	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid metabolism"	Hydrolase	"Cataract, Deafness, Disease variant, Neuropathy, Retinitis pigmentosa"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.07e-2)"	0.26	0.18	0.08	0.33	0.22	24.5
ABHD13	"bA153I24.2, BEM46L1, C13orf6, FLJ14906"	ENSG00000139826	"Abhydrolase domain containing 13"	Q7L211	13	108218392-108234243	"Predicted membrane proteins"		Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (1.66e-1)"	0.33	0.25	0.20	0.25	0.24	6.1
ABHD14A	"DKFZP564O243, DORZ1"	ENSG00000248487	"Abhydrolase domain containing 14A"	Q9BUJ0	3	51971426-51981196	"Predicted intracellular proteins, Predicted membrane proteins"		Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (7.30e-2)"	0.33	0.23	0.08	0.43	0.19	14.5
ABHD14B	"CIB, MGC15429"	ENSG00000114779	"Abhydrolase domain containing 14B"	Q96IU4	3	51968510-51983409	"Plasma proteins, Predicted intracellular proteins"		"Acyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.62e-2)"	0.25	0.18	0.20	0.40	0.28	37.9
ABHD15		ENSG00000168792	"Abhydrolase domain containing 15"	Q6UXT9	17	29560547-29567037	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.28e-1)"	0.45	0.66	0.10	0.72	0.79	4.3
ABHD16A	"BAT5, D6S82E, NG26"	ENSG00000204427	"Abhydrolase domain containing 16A, phospholipase"	O95870	6	31686955-31703356	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted membrane proteins"	"Lipid metabolism"	Hydrolase	"Disease variant, Hereditary spastic paraplegia, Neurodegeneration"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.39e-2)"	0.28	0.41	0.41	0.59	0.16	20.8
ABHD17A	"C19orf27, FAM108A1, MGC5244"	ENSG00000129968	"Abhydrolase domain containing 17A, depalmitoylase"	Q96GS6	19	1876810-1885496	"Enzymes, Predicted intracellular proteins, Transporters"		Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.36e-1)"	0.37	0.42	0.06	0.44	0.35	44.9
ABHD17B	"C9orf77, CGI-67, FAM108B1"	ENSG00000107362	"Abhydrolase domain containing 17B, depalmitoylase"	Q5VST6	9	71862452-71911193	"Enzymes, Predicted intracellular proteins"		Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.66e-1)"	0.34	0.39	0.18	0.47	0.30	8.9
ABHD17C	FAM108C1	ENSG00000136379	"Abhydrolase domain containing 17C, depalmitoylase"	Q6PCB6	15	80679684-80755621	"Enzymes, Predicted intracellular proteins"		Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.40e-1)"	0.45	"Not detected"	0.10	0.59	0.26	5.9
ABHD18	"C4orf29, FLJ21106"	ENSG00000164074	"Abhydrolase domain containing 18"	Q0P651	4	127965306-128039953	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (2.26e-1)"	0.36	0.28	0.16	0.46	0.11	3.9
